H,-1
Li,+1
N,-3
O,-2
F,-1
Na,+1
Mg,+2
Al,+3
S,-2
Cl,-1
K,+1
Ca,+2
Mn,+2
Fe(II),+2
Fe(III),+3
Co,+2
Ni,+2
Cu(I),+1
Cu(II),+2
Zn,+2
Se,-2
Cl,-1
Rb,+1
Sr,+2
Ag,+1
Cd,+2
Sn,+2
Te,-2
I,-1
Cs,+1
Ba,+2
Pb,+2
Bi,+3
NH4,+1
OH,-1
NO3,-1
ClO3,-1
ClO4,-1
MnO4,-1
HCO3,-1
CO3,-2
SO4,-2
CrO4,-2
Cr2O7,-2
PO4,-3
